angry,disgust,fear,happy,sad,surprise,neutral
3.6979382,0.0032665273,94.718,1.2188922,0.13592237,0.20498955,0.020989148
0.10914443,0.00037191864,95.00814,2.5436378,0.2585763,2.0451121,0.03501752
0.072088994,0.00022381195,97.23067,1.4367186,0.88800573,0.35852048,0.01376922
0.158597,0.00012942654,85.973724,7.472931,0.76407886,2.6283,3.0022304
1.1524843,0.000718987,84.028984,8.596262,2.1253717,0.46141228,3.6347713
1.4879665,0.0005353313,77.834236,9.835175,3.3584087,0.34013847,7.1435337
61.043716,0.058739156,32.14945,1.5407616,4.925466,0.0006686465,0.2811994
0.5032145,8.291816e-07,0.075510606,98.63583,0.06426114,0.000110141715,0.72107303
0.23895207,1.1050475e-06,1.9946495,34.10447,10.092065,7.144793e-05,53.569786
0.06482891,2.1320884e-07,0.13225411,0.064651564,3.910535,0.0001753667,95.82755
0.17478251,2.510812e-07,1.4583364,1.31881,21.237516,0.00034058726,75.81022
0.1384662,4.97e-06,91.28264,1.2150009,3.8642428,0.00038111839,3.4992623
2.7225695,0.00017417323,33.883797,43.76592,15.378608,0.00013572829,4.248795
0.16676758,4.1670242e-05,22.99992,54.873905,8.454018,0.000727265,13.504621
0.0040490082,8.874882e-08,2.2811463,0.59539694,91.847694,5.560843e-07,5.2717113
0.030346507,2.2115368e-07,6.815809,0.10950717,76.76489,3.1080733e-06,16.279438
0.033975653,2.4015105e-07,0.7611082,0.15777288,66.87738,8.045207e-07,32.169765
2.9044607,1.9418381e-05,11.791497,0.78349316,82.99249,1.8065842e-07,1.5280377
0.13116717,5.9626177e-07,19.829931,0.052433107,73.406685,1.2040339e-06,6.579786
1.5524958,0.000105122126,16.200014,0.0048517277,61.452667,6.523587e-06,20.789852
0.6246549,0.0018765524,0.38038707,82.10198,13.2258215,0.0066330507,3.6586452
1.6605121,3.0089486e-06,0.8506035,1.6175065,90.7696,1.8095537e-06,5.101777
0.015162141,3.3769056e-09,5.4522533,13.150559,12.512438,0.013068316,68.85652
0.0070473524,3.0086942e-09,0.15675765,3.7563114,96.07692,1.9141769e-08,0.0029675944
0.0004916306,4.6324313e-09,1.3697531,24.413431,72.625916,1.1613268e-06,1.5904144
0.007929596,2.9961668e-06,9.511899,39.421146,44.26814,0.0001212634,6.790763
0.0014911547,1.424793e-06,2.9894676,47.416084,49.07883,1.0789898e-05,0.5141191
0.0015240116,3.9210948e-10,5.6452703,91.16104,1.2987325,0.00036023709,1.8930737
0.0030874072,8.919482e-09,11.219821,64.1782,19.465029,0.00037213956,5.133496
0.0008321331,4.481646e-08,2.0339005,84.070045,10.706022,0.00015357166,3.1890483
0.0004900291,1.1693503e-08,0.7883377,95.121315,0.98326325,0.00018940704,3.1064065
0.0004352813,1.5732521e-08,3.0972593,73.3267,17.346882,0.00012352013,6.2285986
0.000187567,2.2235918e-09,0.81192213,80.330025,14.939087,0.00011485267,3.9186678
0.03650879,7.5319065e-08,3.3379369,6.84478,29.157145,0.005523796,60.618107
0.016258333,1.0252745e-07,2.9718058,72.13519,5.8509316,0.0010515569,19.024765
0.0056456006,6.5293825e-08,48.43564,15.88619,29.512232,0.0025877235,6.1577163
2.019599e-05,1.9905445e-14,0.0030676615,99.92991,3.8675753e-05,5.203275e-05,0.066913635
0.016741036,5.1196e-08,0.3889845,99.485016,0.006862413,6.277482e-05,0.10233585
0.15545951,2.1790859e-06,98.780655,0.0581799,0.7454648,3.2121e-06,0.26023525
3.057251,1.1588213e-05,88.78984,7.3582435,0.6952346,7.9852216e-05,0.09934737
0.0001418156,7.737108e-13,0.0005685557,99.98167,0.017306695,7.9469303e-10,0.000306454
7.1238384e-05,1.1077041e-12,0.0006573068,99.786385,0.0041944636,1.7836739e-07,0.20869307
0.00014359625,5.7378255e-08,0.0010569927,99.89018,0.093650565,4.5239894e-08,0.01497314
0.0002973743,1.6276819e-09,0.009758802,99.91695,0.036640197,6.459789e-07,0.036358964
0.003500946,0.00091984513,0.43514237,55.34959,44.093452,6.0699364e-07,0.1173948
0.009698661,8.275405e-09,11.681351,55.90664,29.539566,0.0027430574,2.8600025
0.023536308,1.9790582e-06,1.5474937,93.086975,2.5550246,9.121817e-05,2.7868817
0.19305377,2.3445586e-05,7.1429768,81.72249,1.6068203,0.0028793714,9.33176
0.001379799,1.7365758e-09,0.14312759,99.72809,0.006930767,7.234736e-06,0.120469876
0.09743112,3.7484056e-09,14.321366,68.84881,0.014905559,8.700438,8.017056
0.0015897749,4.7632853e-11,36.77462,0.46998954,0.0008468489,62.5819,0.17105952
0.005353559,2.992876e-11,0.009864428,99.81956,0.0051935697,2.1288528e-05,0.16001548
6.0215058e-05,9.731032e-12,0.0055491547,99.908806,0.001159895,1.3831437e-06,0.084423475
0.0008326755,4.7895483e-08,0.24966232,97.64929,0.59687316,1.284987e-05,1.5033305
0.00012697688,6.2732694e-11,0.031210033,99.823204,0.002412894,6.549515e-06,0.14303958
0.00024974125,5.1964777e-10,0.020682488,99.71465,0.009037278,4.6544337e-06,0.2553659
0.00025159508,4.4211879e-10,0.015198982,99.88053,0.0035563498,2.9440455e-06,0.10046346
3.7080856e-05,2.2804382e-11,0.0032352,99.91183,0.005480995,1.3520826e-06,0.07941165
3.6882317e-05,3.3321798e-12,0.0037805089,99.95228,0.0006831468,3.9552154e-07,0.043222208
4.286468e-05,1.2790762e-11,0.005930391,99.95247,0.0012300654,1.1762999e-06,0.040328406
5.3178032e-06,3.3139575e-13,0.00024620682,99.99657,0.00039108662,3.1623995e-09,0.002788063
0.00010465639,4.2066858e-14,7.195236,0.010106087,2.5267625,0.00046847467,90.26733
0.00080214883,9.517704e-12,6.9951267,79.12992,10.154719,0.00042848388,3.7190075
3.4814789e-06,7.2258367e-13,0.002432079,99.977295,0.0007959403,1.3575277e-07,0.01946737
4.0731356e-06,5.984468e-13,0.0013744931,99.9754,0.0006314626,1.8482021e-07,0.022592392
8.759932e-05,8.512401e-12,0.040388733,99.87628,0.028216098,6.8628545e-08,0.05502318
0.06137077,1.6944192e-06,0.87052256,95.68461,1.1102319,0.00011308095,2.273153
0.0011831676,2.1842181e-09,0.29565313,99.65366,0.0021463763,2.441151e-05,0.047331963
0.0014038532,6.023762e-11,1.4311527,98.39889,0.014276894,1.5639249e-05,0.1542521
